env,algorithm,scenario,states_explored,actions_taken,total_cost,time_seconds,solution_found
28,DLS-50,1,,,,0.05188564599939127,False
28,DLS-50,2,,,,0.05188564599939127,False
28,DLS-75,1,,,,0.14221494299999904,False
28,DLS-75,2,,,,0.14221494299999904,False
28,DLS-100,1,,,,0.3175109200001316,False
28,DLS-100,2,,,,0.3175109200001316,False
28,UCS,1,5863,136,136,0.02283210899986443,True
28,UCS,2,5863,136,676,0.02283210899986443,True
28,A1,1,3897,136,136,0.014458707000812865,True
28,A2,2,3897,136,676,0.015505370000028051,True
29,RANDOM,1,,,,1.9117000192636624e-05,False
29,RANDOM,2,,,,1.9117000192636624e-05,False
29,BFS,1,3636,51,51,0.010293660999195708,True
29,BFS,2,3636,51,312,0.010293660999195708,True
29,DFS,1,908,847,847,0.0022910229999979492,True
29,DFS,2,908,847,2674,0.0022910229999979492,True
29,DLS-50,1,,,,0.15795419499954733,False
29,DLS-50,2,,,,0.15795419499954733,False
29,DLS-75,1,19410,75,75,0.060984122000263596,True
29,DLS-75,2,19410,75,336,0.060984122000263596,True
29,DLS-100,1,42792,99,99,0.132967520999955,True
29,DLS-100,2,42792,99,360,0.132967520999955,True
29,UCS,1,5108,51,51,0.018887295999775233,True
29,UCS,2,5108,51,312,0.018887295999775233,True
29,A1,1,567,51,51,0.002192152999668906,True
29,A2,2,567,51,312,0.002140852999218623,True
30,RANDOM,1,,,,3.734299934876617e-05,False
30,RANDOM,2,,,,3.734299934876617e-05,False
30,BFS,1,3008,42,42,0.008455186999526632,True
30,BFS,2,3008,42,213,0.008455186999526632,True
30,DFS,1,2832,2698,2698,0.006449691999478091,True
30,DFS,2,2832,2698,8521,0.006449691999478091,True
30,DLS-50,1,26560,50,50,0.1018107889995008,True
30,DLS-50,2,26560,50,221,0.1018107889995008,True
30,DLS-75,1,39614,74,74,0.1520722539999042,True
30,DLS-75,2,39614,74,245,0.1520722539999042,True
30,DLS-100,1,19200,100,100,0.057856129000356304,True
30,DLS-100,2,19200,100,397,0.057856129000356304,True
30,UCS,1,3357,42,42,0.012745261999953073,True
30,UCS,2,3357,42,213,0.012745261999953073,True
30,A1,1,422,42,42,0.001581327999701898,True
30,A2,2,422,42,213,0.001558016000672069,True
